City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,bilma,18.69,12.92,101.86,16,91,5.41,NE,1590244156
88,ilulissat,69.22,-51.1,39.2,69,20,9.17,GL,1590244156
89,xichang,27.9,102.26,67.1,66,84,2.82,CN,1590244157
90,namatanai,-3.67,152.43,81.34,79,11,4.0,PG,1590244157
91,pokhara,28.23,83.98,73.35,72,73,3.58,NP,1590243907
92,filingue,14.35,3.32,104.0,8,5,10.87,NE,1590244157
93,morehead,37.27,-87.18,75.2,78,40,5.82,US,1590244134
94,doka,13.52,35.77,90.68,41,28,7.67,SD,1590244157
95,catamarca,-28.47,-65.79,53.01,60,0,1.99,AR,1590244157
96,hambantota,6.12,81.12,83.44,75,91,18.45,LK,1590244157
97,slonim,53.09,25.32,59.49,54,48,5.21,BY,1590244158
98,sao miguel do araguaia,-13.28,-50.16,82.56,70,0,4.07,BR,1590244120
99,lazaro cardenas,17.96,-102.2,79.02,78,100,2.26,MX,1590244158
100,valparaiso,-33.04,-71.63,66.2,24,0,5.82,CL,1590244109
101,zhangjiakou,40.81,114.88,60.42,46,0,8.77,CN,1590244158
102,kaitangata,-46.28,169.85,48.0,85,100,2.53,NZ,1590244158
103,yele,10.73,13.59,93.58,26,97,8.12,CM,1590244158
104,puerto ayora,-0.74,-90.35,77.0,83,20,12.75,EC,1590244158
105,talnakh,69.49,88.4,53.6,93,100,8.95,RU,1590244158
106,buckeye,33.37,-112.58,75.0,24,1,3.36,US,1590244132
107,sandane,61.77,6.21,57.99,62,45,31.09,NO,1590244159
108,panyutyne,48.93,36.28,55.89,59,13,8.99,UA,1590244159
109,port alfred,-33.59,26.89,66.0,79,0,6.64,ZA,1590244159
110,maraba,-5.37,-49.12,87.8,74,40,4.7,BR,1590244159
111,ponta do sol,32.67,-17.1,78.8,50,20,18.34,PT,1590244159
112,kavieng,-2.57,150.8,82.47,77,30,3.09,PG,1590244159
113,axim,4.87,-2.24,85.28,69,45,9.53,GH,1590244159
114,clyde river,70.47,-68.59,26.6,100,90,2.24,CA,1590244159
115,sambava,-14.27,50.17,77.4,82,14,16.46,MG,1590244160
116,ust-tsilma,65.44,52.15,39.4,72,100,8.1,RU,1590244160
117,charlottetown,46.24,-63.13,43.0,41,20,16.11,CA,1590243860
118,gairo,39.85,9.5,71.6,53,20,21.92,IT,1590244160
119,nioro,13.35,-15.75,109.02,14,0,0.87,GM,1590244160
120,ribeira grande,38.52,-28.7,66.2,93,75,6.93,PT,1590244160
121,grand gaube,-20.01,57.66,73.0,69,0,5.01,MU,1590244160
122,anadyr,64.75,177.48,33.8,86,90,4.47,RU,1590244160
123,broome,42.25,-75.83,66.99,88,75,9.17,US,1590244160
124,arandas,20.7,-102.35,69.01,31,0,2.24,MX,1590244160
125,nimaparha,20.07,86.02,84.15,84,51,13.6,IN,1590244161
126,faanui,-16.48,-151.75,80.22,77,20,22.46,PF,1590244161
127,riyadh,24.69,46.72,104.0,15,0,3.36,SA,1590244106
128,karla,59.37,24.93,62.6,40,64,9.17,EE,1590244161
129,dingle,11.0,122.67,80.13,82,100,1.48,PH,1590244161
130,nikolskoye,59.7,30.79,57.2,22,0,8.95,RU,1590244161
131,vaini,-21.2,-175.2,62.6,100,20,7.11,TO,1590244161
132,moree,-29.47,149.85,50.0,66,90,7.0,AU,1590244161
133,vila do maio,15.13,-23.22,84.2,51,20,14.99,CV,1590244161
134,tasiilaq,65.61,-37.64,44.6,70,40,3.36,GL,1590244161
135,punta arenas,-53.15,-70.92,44.6,100,90,3.98,CL,1590243909
136,lorengau,-2.02,147.27,81.81,78,100,3.62,PG,1590244162
137,coihaique,-45.58,-72.07,48.2,93,90,10.29,CL,1590244162
138,hilo,19.73,-155.09,69.8,77,75,3.36,US,1590244162
